time,open,high,low,close
2026-09-21T18:51:41+00:00,1.10000000,1.10042611,1.09977565,1.10022000
2026-09-21T18:52:41+00:00,1.10022000,1.10050075,1.10009306,1.10044004
2026-09-21T18:53:41+00:00,1.10044004,1.10090508,1.10040292,1.10066013
2026-09-21T18:54:41+00:00,1.10066013,1.10095409,1.10007295,1.10021987
2026-09-21T18:55:41+00:00,1.10021987,1.10047737,1.09929566,1.09933969
2026-09-21T18:56:41+00:00,1.09933969,1.09940971,1.09878476,1.09889995
2026-09-21T18:57:41+00:00,1.09889995,1.09908686,1.09824478,1.09846039
2026-09-21T18:58:41+00:00,1.09846039,1.09936356,1.09822303,1.09933916
2026-09-21T18:59:41+00:00,1.09933916,1.09943878,1.09895435,1.09911929
2026-09-21T19:00:41+00:00,1.09911929,1.09944575,1.09864519,1.09867964
2026-09-21T19:01:41+00:00,1.09867964,1.09927154,1.09856072,1.09911911
2026-09-21T19:02:41+00:00,1.09911911,1.09916504,1.09870263,1.09889929
2026-09-21T19:03:41+00:00,1.09889929,1.09957479,1.09887682,1.09933885
2026-09-21T19:04:41+00:00,1.09933885,1.10031347,1.09919875,1.10021832
2026-09-21T19:05:41+00:00,1.10021832,1.10074851,1.10006365,1.10065841
2026-09-21T19:06:41+00:00,1.10065841,1.10105720,1.10021704,1.10043828
2026-09-21T19:07:41+00:00,1.10043828,1.10148688,1.10027620,1.10131863
2026-09-21T19:08:41+00:00,1.10131863,1.10179226,1.10127365,1.10153889
2026-09-21T19:09:41+00:00,1.10153889,1.10170457,1.10050102,1.10065766
2026-09-21T19:10:41+00:00,1.10065766,1.10090742,1.10049405,1.10087779
2026-09-21T19:11:41+00:00,1.10087779,1.10180410,1.10066637,1.10175849
2026-09-21T19:12:41+00:00,1.10175849,1.10181878,1.10148895,1.10153814
2026-09-21T19:13:41+00:00,1.10153814,1.10156145,1.10108030,1.10109752
2026-09-21T19:14:41+00:00,1.10109752,1.10111602,1.09998439,1.10021664
2026-09-21T19:15:41+00:00,1.10021664,1.10144254,1.10003414,1.10109681
2026-09-21T19:16:41+00:00,1.10109681,1.10116491,1.10065404,1.10087659
2026-09-21T19:17:41+00:00,1.10087659,1.10105946,1.10034348,1.10043624
2026-09-21T19:18:41+00:00,1.10043624,1.10057103,1.09960409,1.09999607
2026-09-21T19:19:41+00:00,1.09999607,1.10069595,1.09997206,1.10043607
2026-09-21T19:20:41+00:00,1.10043607,1.10094150,1.10010148,1.10065616
2026-09-21T19:21:41+00:00,1.10065616,1.10113292,1.10044625,1.10109642
2026-09-21T19:22:41+00:00,1.10109642,1.10130991,1.10069992,1.10087620
2026-09-21T19:23:41+00:00,1.10087620,1.10090857,1.10039782,1.10043585
2026-09-21T19:24:41+00:00,1.10043585,1.10067024,1.09992030,1.09999568
2026-09-21T19:25:41+00:00,1.09999568,1.10003104,1.09934733,1.09955568
2026-09-21T19:26:41+00:00,1.09955568,1.09961428,1.09897947,1.09911586
2026-09-21T19:27:41+00:00,1.09911586,1.09983473,1.09909416,1.09933568
2026-09-21T19:28:41+00:00,1.09933568,1.09988433,1.09807387,1.09845621
2026-09-21T19:29:41+00:00,1.09845621,1.09852637,1.09782461,1.09801683
2026-09-21T19:30:41+00:00,1.09801683,1.09902605,1.09770918,1.09889524
